Age,DailyRate,DistanceFromHome,Education,JobLevel,JobSatisfaction,MonthlyIncome,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,Attrition
29,896,18,1,1,4,2389,2,4,3,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,Yes,Yes
52,1323,2,3,1,4,3212,2,2,2,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,No,No
42,532,4,2,5,4,19232,3,22,17,Travel_Rarely,Research & Development,Technical Degree,Male,Manager,Married,No,No
59,818,6,2,1,3,2267,2,2,2,Travel_Rarely,Human Resources,Medical,Male,Human Resources,Married,No,No
50,854,1,4,5,4,19517,2,7,0,Travel_Rarely,Sales,Medical,Female,Manager,Divorced,No,No
33,813,14,3,1,4,2436,1,5,4,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,Yes,Yes
43,1034,16,3,4,4,16064,3,17,13,Travel_Rarely,Sales,Marketing,Female,Manager,Married,Yes,No
33,465,2,2,1,1,2707,4,9,7,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married,No,Yes
52,771,2,4,5,3,19068,4,33,7,Non-Travel,Sales,Life Sciences,Male,Manager,Single,Yes,No
32,1401,4,2,1,2,3931,3,4,3,Travel_Rarely,Sales,Life Sciences,Female,Sales Representative,Married,No,No
32,515,1,3,1,3,3730,1,3,2,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,Yes,Yes
39,1431,1,4,1,3,2232,3,3,2,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Divorced,No,No
32,976,26,4,2,4,4465,3,3,2,Non-Travel,Sales,Marketing,Male,Sales Executive,Married,No,No
41,1411,19,2,2,1,3072,2,1,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,No,No
40,1300,24,2,2,4,3319,3,9,8,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Divorced,No,No
45,252,1,3,5,4,19202,3,24,0,Travel_Rarely,Research & Development,Other,Male,Manager,Married,No,No
31,1327,3,4,3,3,13675,3,2,2,Travel_Frequently,Research & Development,Medical,Male,Research Director,Divorced,No,No
33,832,5,4,1,4,2911,2,2,2,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,No,No
34,470,2,4,2,1,5957,3,11,9,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married,No,No
37,1017,1,2,1,1,3920,2,3,1,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,No,No
45,1199,7,4,2,3,6434,3,3,2,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Married,No,No
37,504,10,3,3,3,10048,3,1,0,Travel_Frequently,Research & Development,Medical,Male,Manufacturing Director,Divorced,No,Yes
39,505,2,4,3,3,10938,3,19,6,Travel_Frequently,Research & Development,Technical Degree,Female,Healthcare Representative,Single,No,No
29,665,15,3,1,4,2340,3,6,5,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,No,No
42,916,17,2,2,1,6545,3,3,2,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single,Yes,No
29,1247,20,2,2,4,6931,3,3,2,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced,No,No
25,685,1,3,2,3,4898,3,4,2,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Married,No,No
42,269,2,3,1,1,2593,3,9,6,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Divorced,Yes,No
40,1416,2,2,5,3,19436,3,21,7,Travel_Rarely,Research & Development,Medical,Male,Research Director,Divorced,No,No
51,833,1,3,1,4,2723,2,1,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,No,No
31,307,29,2,1,2,3479,4,5,4,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Single,No,Yes
32,1311,7,3,1,2,2794,1,5,1,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Married,No,No
38,1327,2,2,2,4,5249,3,8,7,Non-Travel,Sales,Life Sciences,Male,Sales Executive,Married,No,No
32,128,2,1,2,1,2176,3,6,2,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Single,No,No
46,488,2,3,4,2,16872,2,7,7,Travel_Rarely,Sales,Technical Degree,Female,Manager,Married,Yes,No
28,529,2,4,1,3,3485,1,0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,No,Yes
29,1210,2,3,2,2,6644,3,0,0,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,No,No
31,1463,23,3,2,4,5582,3,9,0,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married,No,No
25,675,5,2,2,1,4000,3,6,3,Non-Travel,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,No,No
45,1385,20,2,4,4,13496,3,20,7,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married,Yes,No
36,1403,6,3,1,4,3210,3,15,13,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,No,No
55,452,1,3,5,1,19045,3,36,10,Travel_Rarely,Research & Development,Medical,Male,Manager,Single,Yes,No
47,666,29,4,3,2,11849,2,10,7,Non-Travel,Research & Development,Life Sciences,Male,Manager,Married,Yes,Yes
28,1158,9,3,1,4,2070,2,5,2,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,No,No
37,228,6,4,2,4,6502,4,5,4,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,No,No
21,996,3,2,1,3,3230,4,3,2,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,No,No
37,728,1,4,3,4,13603,3,5,2,Non-Travel,Research & Development,Medical,Female,Research Director,Divorced,Yes,No
35,1315,22,3,3,2,11996,2,7,7,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Divorced,No,No
38,322,7,2,2,1,5605,3,8,0,Travel_Rarely,Sales,Medical,Female,Sales Executive,Divorced,Yes,No
26,1479,1,3,2,2,6397,1,6,5,Travel_Frequently,Research & Development,Life Sciences,Female,Manufacturing Director,Divorced,No,No
50,797,4,1,5,2,19144,2,10,4,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Divorced,No,No
53,1070,3,4,4,3,17584,2,5,3,Travel_Rarely,Research & Development,Medical,Male,Research Director,Married,Yes,No
42,635,1,1,2,3,4907,3,20,16,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,No,No
29,442,2,2,2,4,4554,2,10,7,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Single,No,No
55,147,20,2,2,4,5415,3,10,7,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Married,Yes,No
26,496,11,2,2,1,4741,3,5,3,Travel_Frequently,Research & Development,Medical,Male,Healthcare Representative,Married,Yes,No
37,1372,1,3,1,4,2115,3,17,12,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single,No,No
44,920,24,3,1,3,3161,1,1,0,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,Yes,Yes
38,688,23,4,2,4,5745,3,2,2,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,No,No
26,1449,16,4,1,2,2373,3,3,2,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,Yes,Yes
28,1117,8,2,1,4,3310,3,5,3,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single,No,No
49,636,10,4,5,1,18665,3,3,2,Travel_Frequently,Research & Development,Life Sciences,Female,Research Director,Single,Yes,No
36,506,3,3,2,2,4485,3,8,0,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Single,No,No
31,444,5,3,1,2,2789,2,2,2,Travel_Frequently,Sales,Marketing,Female,Sales Representative,Divorced,No,No
26,950,4,4,2,4,5828,3,8,7,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,Yes,Yes
37,889,9,3,1,4,2326,2,4,2,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Married,Yes,No
42,555,26,3,4,2,13525,4,20,4,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Married,No,No
18,230,3,3,1,3,1420,3,0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,No,Yes
35,1232,16,3,3,2,8020,2,11,9,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,No
36,566,18,4,1,4,3688,3,1,0,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Married,No,No
51,1302,2,3,2,2,5482,3,4,1,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Divorced,No,No
41,334,2,4,4,2,16015,3,22,10,Travel_Rarely,Sales,Life Sciences,Male,Manager,Single,No,No
18,812,10,3,1,3,1200,3,0,0,Travel_Rarely,Sales,Medical,Female,Sales Representative,Single,No,No
28,1476,16,2,2,1,5661,3,8,3,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Single,No,No
31,218,7,3,2,4,6929,2,8,7,Travel_Rarely,Sales,Technical Degree,Male,Sales Executive,Married,No,No
39,1132,1,3,3,4,9613,2,18,10,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Divorced,No,No
36,1105,24,4,2,2,5674,3,9,8,Non-Travel,Research & Development,Life Sciences,Female,Laboratory Technician,Married,No,No
32,906,7,3,2,3,5484,2,13,8,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,No,No
38,849,25,2,3,2,12061,3,10,8,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Married,No,No
58,390,1,4,2,3,5660,3,5,3,Non-Travel,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,Yes,No
31,691,5,4,1,4,4821,3,5,2,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Married,Yes,No
31,106,2,3,2,1,6410,3,2,2,Travel_Rarely,Human Resources,Human Resources,Male,Human Resources,Married,No,No
45,1249,7,3,3,1,5210,3,24,9,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,No,No
31,192,2,4,1,4,2695,1,2,2,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,Yes,No
33,553,5,4,3,2,11878,3,10,6,Travel_Frequently,Research & Development,Life Sciences,Female,Manager,Married,No,No
39,117,10,1,4,1,17068,3,21,9,Travel_Rarely,Research & Development,Medical,Male,Manager,Married,Yes,No
43,185,10,4,1,4,2455,3,8,7,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Single,No,No
49,1091,1,2,4,3,13964,3,7,1,Travel_Rarely,Research & Development,Technical Degree,Female,Healthcare Representative,Single,Yes,No
52,723,8,4,2,2,4941,2,8,2,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,No,Yes
27,1220,5,3,1,2,2478,2,4,3,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single,Yes,No
32,588,8,2,2,2,5228,3,13,12,Travel_Rarely,Sales,Technical Degree,Female,Sales Executive,Married,Yes,No
27,1377,2,3,2,3,4478,3,5,4,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,Yes,No
31,691,7,3,2,4,7547,3,7,7,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced,No,No
32,1018,2,4,2,4,5055,2,7,7,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Single,No,No
28,1157,2,4,1,4,3464,2,3,2,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,Yes,Yes
30,1275,28,2,2,4,5775,3,10,8,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,No,No
31,798,7,2,3,3,8943,3,10,9,Travel_Frequently,Research & Development,Life Sciences,Female,Manufacturing Director,Married,No,No
39,672,7,2,5,4,19272,3,21,9,Travel_Frequently,Research & Development,Medical,Male,Manager,Married,No,No
39,1162,3,2,2,3,5238,2,1,0,Travel_Rarely,Sales,Medical,Female,Sales Executive,Married,Yes,Yes
33,508,10,3,2,4,4682,2,7,7,Travel_Frequently,Sales,Marketing,Male,Sales Executive,Single,No,No
47,1482,5,5,5,3,18300,3,3,2,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Married,No,No
43,559,10,4,2,3,5257,4,9,7,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,No,No
27,210,1,1,2,2,6349,3,5,4,Non-Travel,Sales,Marketing,Male,Sales Executive,Married,Yes,No
54,928,20,4,2,3,4869,2,4,3,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Single,No,No
43,1001,7,3,3,1,9985,2,1,0,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Married,No,No
45,549,8,4,2,4,3697,3,10,9,Travel_Rarely,Research & Development,Other,Male,Research Scientist,Married,No,No
40,1124,1,2,2,4,7457,2,4,3,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,Yes,No
29,318,8,4,1,1,2119,2,7,7,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Married,Yes,Yes
29,738,9,5,1,4,3983,3,3,2,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Single,No,No
30,570,5,3,2,3,6118,3,10,9,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,No,No
27,1130,8,4,2,2,6214,3,8,7,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,No,No
37,1192,5,2,2,4,6347,2,6,2,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Divorced,No,No
38,343,15,2,3,4,11510,3,11,10,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Divorced,Yes,No
31,1232,7,4,3,4,7143,2,11,9,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Single,Yes,No
29,144,10,1,2,2,8268,3,7,7,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,Yes,No
35,1296,5,4,3,2,8095,3,16,6,Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Single,No,No
23,1309,26,1,1,4,2904,2,4,2,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,No,No
41,483,6,3,2,2,6032,3,5,4,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Single,Yes,No
47,1309,4,1,2,3,2976,3,0,0,Travel_Frequently,Sales,Medical,Male,Sales Representative,Single,No,No
42,810,23,5,4,4,15992,3,1,0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Single,No,No
29,746,2,3,2,3,4649,2,4,3,Non-Travel,Sales,Life Sciences,Male,Sales Executive,Married,No,No
42,544,2,1,1,3,2696,3,3,2,Travel_Rarely,Human Resources,Technical Degree,Male,Human Resources,Divorced,Yes,No
32,1062,2,3,1,2,2370,3,8,0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,No,No
48,530,29,1,3,3,12504,1,0,0,Travel_Rarely,Sales,Medical,Female,Manager,Married,No,No
37,1319,6,3,2,1,5974,3,7,7,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Divorced,Yes,No
30,641,25,2,2,3,4736,4,2,2,Non-Travel,Sales,Technical Degree,Female,Sales Executive,Married,Yes,No
26,933,1,3,2,3,5296,3,8,7,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,No,No
42,1332,2,4,2,4,6781,3,1,0,Travel_Rarely,Research & Development,Other,Male,Healthcare Representative,Single,No,No
21,756,1,1,1,2,2174,3,3,2,Travel_Frequently,Sales,Technical Degree,Female,Sales Representative,Single,Yes,Yes
36,845,1,5,2,4,6653,3,1,0,Non-Travel,Sales,Medical,Female,Sales Executive,Single,No,No
36,541,3,4,3,4,9699,3,13,9,Travel_Frequently,Sales,Medical,Male,Sales Executive,Married,No,No
57,593,1,4,2,3,6755,3,3,2,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married,No,No
40,1171,10,4,1,3,2213,3,7,7,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married,Yes,No
21,895,9,2,1,4,2610,2,3,2,Non-Travel,Sales,Medical,Male,Sales Representative,Single,No,No
33,350,5,3,1,3,2851,3,1,0,Travel_Rarely,Sales,Marketing,Female,Sales Representative,Single,Yes,Yes
37,921,10,3,1,1,3452,3,5,4,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,No,No
46,1144,7,4,2,3,5258,4,1,0,Non-Travel,Research & Development,Medical,Female,Manufacturing Director,Married,No,No
41,143,4,3,2,2,9355,3,8,7,Travel_Frequently,Sales,Marketing,Male,Sales Executive,Single,No,Yes
50,1046,10,3,3,4,10496,3,4,3,Travel_Rarely,Research & Development,Technical Degree,Male,Healthcare Representative,Single,No,No
40,575,22,2,2,3,6380,3,6,4,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,Yes,Yes
31,408,9,4,1,2,2657,3,2,2,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,Yes,No
21,156,12,3,1,2,2716,3,1,0,Travel_Rarely,Sales,Life Sciences,Female,Sales Representative,Single,No,Yes
29,1283,23,3,1,4,2201,3,3,2,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,No,No
35,755,9,4,2,2,6540,3,1,1,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Single,No,No
27,1469,1,2,1,2,3816,3,5,2,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,No,No
28,304,9,4,2,4,5253,3,7,5,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,No,No
49,1261,7,3,3,3,10965,3,5,2,Travel_Rarely,Research & Development,Other,Male,Healthcare Representative,Single,No,No
51,1178,14,2,2,4,4936,2,7,7,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,No,No
36,329,2,3,1,3,2543,3,2,2,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,No,No
34,1362,19,3,2,4,5304,2,5,2,Non-Travel,Sales,Marketing,Male,Sales Executive,Single,Yes,Yes
55,1311,2,3,4,4,16659,3,5,4,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Single,Yes,No
24,1371,10,4,2,3,4260,4,5,2,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,Yes,No
30,202,2,1,1,2,2476,3,1,0,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Married,No,No
26,575,3,1,1,1,3102,3,6,4,Travel_Frequently,Research & Development,Technical Degree,Male,Research Scientist,Single,No,Yes
22,253,11,3,1,2,2244,3,2,1,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,No,No
36,164,2,2,3,3,7596,3,10,9,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,No,No
30,464,4,3,1,4,2285,3,1,0,Travel_Frequently,Research & Development,Technical Degree,Male,Research Scientist,Single,Yes,Yes
37,1107,14,3,1,1,3034,2,18,7,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,No,No
40,759,2,2,2,2,5715,3,5,4,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,No,No
42,201,1,4,1,1,2576,3,5,2,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,No,No
37,1305,10,4,2,2,4197,2,1,0,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Single,Yes,No
43,982,12,3,4,2,14336,3,25,10,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Divorced,No,No
40,555,2,3,2,3,3448,3,1,0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,No,No
54,821,5,2,5,1,19406,2,4,2,Travel_Rarely,Research & Development,Medical,Male,Research Director,Married,No,No
34,1381,4,4,2,3,6538,3,3,2,Non-Travel,Sales,Marketing,Female,Sales Executive,Married,No,No
31,480,7,2,2,1,4306,1,13,10,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Married,No,No
43,313,21,3,1,4,2258,3,3,2,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Married,No,No
43,1473,8,4,2,3,4522,3,5,2,Travel_Rarely,Research & Development,Other,Female,Healthcare Representative,Divorced,Yes,No
25,891,4,2,2,4,4487,3,5,4,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,Yes,No
37,1063,25,5,2,3,4449,3,13,11,Non-Travel,Research & Development,Medical,Female,Research Scientist,Married,Yes,No
31,329,1,2,1,1,2218,3,4,2,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,No,No
39,1218,1,1,5,3,19197,3,21,8,Travel_Frequently,Research & Development,Life Sciences,Male,Manager,Divorced,Yes,No
56,906,6,3,4,1,13212,2,7,7,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Married,No,No
30,1082,12,3,2,3,6577,3,5,4,Travel_Rarely,Sales,Technical Degree,Female,Sales Executive,Single,No,No
41,645,1,3,3,1,8392,3,10,7,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,No
28,1300,17,2,2,1,4558,3,10,0,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,No,No
25,688,3,3,1,1,4031,3,2,2,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,No,Yes
52,319,3,3,3,3,7969,3,5,4,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,Yes,No
45,192,10,2,1,4,2654,2,2,2,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,No,No
52,1490,4,2,4,4,16555,1,5,2,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Married,No,No
42,532,29,2,2,3,4556,3,5,4,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Divorced,No,No
30,317,2,3,2,4,6091,3,5,4,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Single,No,No
60,422,7,3,5,1,19566,1,29,8,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Married,No,No
46,1485,18,3,2,3,4810,2,10,7,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Divorced,No,No
42,1368,28,4,2,4,4523,4,6,5,Travel_Frequently,Research & Development,Technical Degree,Female,Healthcare Representative,Married,No,No
24,1448,1,1,1,2,3202,3,5,3,Travel_Rarely,Sales,Technical Degree,Female,Sales Representative,Single,Yes,Yes
34,296,6,2,1,3,2351,2,2,2,Travel_Frequently,Sales,Marketing,Female,Sales Representative,Divorced,No,Yes
38,1490,2,2,1,4,1702,3,1,0,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Married,Yes,No
40,1398,2,4,5,3,18041,3,20,15,Travel_Rarely,Sales,Life Sciences,Female,Manager,Married,No,No
26,1349,23,3,1,4,2886,1,3,2,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Divorced,No,No
30,1400,3,3,1,4,2097,1,5,3,Non-Travel,Research & Development,Life Sciences,Male,Laboratory Technician,Married,No,No
29,986,3,4,3,3,11935,3,10,2,Travel_Rarely,Research & Development,Medical,Male,Research Director,Married,No,No
29,408,25,5,1,2,2546,4,2,2,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Married,No,Yes
19,489,2,2,1,4,2564,4,1,0,Travel_Rarely,Human Resources,Technical Degree,Male,Human Resources,Single,No,Yes
30,1398,22,4,3,1,8412,3,9,8,Non-Travel,Sales,Other,Female,Sales Executive,Married,No,No
57,210,29,3,4,4,14118,2,1,0,Travel_Rarely,Sales,Marketing,Male,Manager,Divorced,No,No
50,1099,29,4,4,3,17046,3,27,10,Travel_Rarely,Research & Development,Life Sciences,Male,Manager,Married,No,No
30,1116,2,3,1,4,2564,2,11,7,Non-Travel,Research & Development,Medical,Female,Laboratory Technician,Single,No,No
60,1499,28,3,3,1,10266,4,18,13,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Married,No,No
47,983,2,2,2,4,5070,3,5,0,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Divorced,No,No
46,1009,2,3,4,3,17861,1,3,2,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Married,No,No
35,144,22,3,1,3,4230,3,5,4,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,No,No
54,548,8,4,2,3,3780,3,1,0,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,No,No
34,1303,2,4,1,3,2768,3,7,3,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,No,No
46,1125,10,3,3,4,9071,3,3,2,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,Yes,No
31,1274,9,1,3,2,10648,4,13,8,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,No,No
33,1277,15,1,3,3,13610,4,7,6,Travel_Rarely,Research & Development,Medical,Male,Manager,Married,Yes,Yes
33,587,10,1,1,4,3408,3,4,3,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,No,Yes
30,413,7,1,1,2,2983,3,3,2,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Single,No,No
35,1276,16,3,3,3,7632,3,8,7,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Married,Yes,No
31,534,20,3,3,3,9824,3,1,0,Travel_Frequently,Research & Development,Life Sciences,Male,Healthcare Representative,Married,No,Yes
34,988,23,3,3,1,9950,3,3,2,Travel_Frequently,Human Resources,Human Resources,Female,Human Resources,Divorced,Yes,Yes
42,1474,5,2,1,3,2093,3,2,2,Travel_Frequently,Research & Development,Other,Male,Laboratory Technician,Married,No,No
36,635,10,4,3,4,9980,2,10,3,Non-Travel,Sales,Medical,Male,Sales Executive,Single,No,No
22,1368,4,1,1,3,3894,3,2,2,Travel_Frequently,Research & Development,Technical Degree,Male,Laboratory Technician,Single,No,Yes
48,163,2,5,2,4,4051,3,9,7,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,No,No
55,1117,18,5,4,2,16835,3,10,9,Travel_Rarely,Sales,Life Sciences,Female,Manager,Single,No,No
41,267,10,2,2,4,6230,3,14,3,Non-Travel,Sales,Life Sciences,Male,Sales Executive,Single,No,No
35,619,1,3,2,3,4717,3,11,9,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,No
40,302,6,3,4,3,13237,3,20,6,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Single,No,No
39,443,8,1,1,3,3755,3,8,3,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Married,No,No
31,828,2,1,2,4,6582,4,6,5,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,Yes,No
42,319,24,3,3,1,7406,2,10,9,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,Yes,No
45,561,2,3,2,2,4805,4,8,7,Travel_Rarely,Sales,Other,Male,Sales Executive,Married,No,No
26,426,17,4,1,3,2741,2,7,7,Travel_Frequently,Human Resources,Life Sciences,Female,Human Resources,Divorced,Yes,Yes
29,232,19,3,2,4,4262,4,3,2,Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Divorced,No,No
33,922,1,5,4,3,16184,3,6,1,Travel_Rarely,Research & Development,Medical,Female,Research Director,Divorced,No,No
31,688,7,3,3,4,11557,2,5,4,Travel_Rarely,Sales,Life Sciences,Male,Manager,Divorced,No,No
18,1306,5,3,1,2,1878,3,0,0,Travel_Frequently,Sales,Marketing,Male,Sales Representative,Single,Yes,Yes
40,1094,28,3,3,1,10932,3,1,0,Non-Travel,Sales,Other,Male,Sales Executive,Divorced,No,No
41,509,2,4,2,3,6811,3,8,7,Non-Travel,Research & Development,Other,Female,Healthcare Representative,Single,Yes,No
26,775,29,2,2,3,4306,3,0,0,Travel_Rarely,Sales,Medical,Male,Sales Executive,Divorced,No,No
